@@	1100	Hangul Jamo	11FF
@		Initial consonants
1100	HANGUL CHOSEONG KIYEOK
	= G
1101	HANGUL CHOSEONG SSANGKIYEOK
	= GG
1102	HANGUL CHOSEONG NIEUN
	= N
1103	HANGUL CHOSEONG TIKEUT
	= D
1104	HANGUL CHOSEONG SSANGTIKEUT
	= DD
1105	HANGUL CHOSEONG RIEUL
	= R
1106	HANGUL CHOSEONG MIEUM
	= M
1107	HANGUL CHOSEONG PIEUP
	= B
1108	HANGUL CHOSEONG SSANGPIEUP
	= BB
1109	HANGUL CHOSEONG SIOS
	= S
	* voiceless lenis alveolar fricative
110A	HANGUL CHOSEONG SSANGSIOS
	= SS
	* voiceless fortis alveolar fricative
110B	HANGUL CHOSEONG IEUNG
	* zero sound
110C	HANGUL CHOSEONG CIEUC
	= J
	* voiceless or voiced lenis alveolar affricate
110D	HANGUL CHOSEONG SSANGCIEUC
	= JJ
	* voiceless unaspirated fortis alveolar affricate
110E	HANGUL CHOSEONG CHIEUCH
	= C
	* voiceless aspirated alveolar affricate
110F	HANGUL CHOSEONG KHIEUKH
	= K
1110	HANGUL CHOSEONG THIEUTH
	= T
1111	HANGUL CHOSEONG PHIEUPH
	= P
1112	HANGUL CHOSEONG HIEUH
	= H
	* voiceless glottal fricative
@		Old initial consonants
1113	HANGUL CHOSEONG NIEUN-KIYEOK
1114	HANGUL CHOSEONG SSANGNIEUN
1115	HANGUL CHOSEONG NIEUN-TIKEUT
1116	HANGUL CHOSEONG NIEUN-PIEUP
1117	HANGUL CHOSEONG TIKEUT-KIYEOK
1118	HANGUL CHOSEONG RIEUL-NIEUN
1119	HANGUL CHOSEONG SSANGRIEUL
111A	HANGUL CHOSEONG RIEUL-HIEUH
111B	HANGUL CHOSEONG KAPYEOUNRIEUL
111C	HANGUL CHOSEONG MIEUM-PIEUP
111D	HANGUL CHOSEONG KAPYEOUNMIEUM
111E	HANGUL CHOSEONG PIEUP-KIYEOK
111F	HANGUL CHOSEONG PIEUP-NIEUN
1120	HANGUL CHOSEONG PIEUP-TIKEUT
1121	HANGUL CHOSEONG PIEUP-SIOS
1122	HANGUL CHOSEONG PIEUP-SIOS-KIYEOK
1123	HANGUL CHOSEONG PIEUP-SIOS-TIKEUT
1124	HANGUL CHOSEONG PIEUP-SIOS-PIEUP
1125	HANGUL CHOSEONG PIEUP-SSANGSIOS
1126	HANGUL CHOSEONG PIEUP-SIOS-CIEUC
1127	HANGUL CHOSEONG PIEUP-CIEUC
1128	HANGUL CHOSEONG PIEUP-CHIEUCH
1129	HANGUL CHOSEONG PIEUP-THIEUTH
112A	HANGUL CHOSEONG PIEUP-PHIEUPH
112B	HANGUL CHOSEONG KAPYEOUNPIEUP
112C	HANGUL CHOSEONG KAPYEOUNSSANGPIEUP
112D	HANGUL CHOSEONG SIOS-KIYEOK
112E	HANGUL CHOSEONG SIOS-NIEUN
